id,category,age_group,question_en,question_bn,question_hi,question_jp,question_cn,options
31,Personal,Senior,Question EN 31,Question BN 31,Question HI 31,Question JP 31,Question CN 31,"Always, Often, Sometimes, Rarely, Never"
32,Ethics,Child,Question EN 32,Question BN 32,Question HI 32,Question JP 32,Question CN 32,"Always, Often, Sometimes, Rarely, Never"
33,Social,Teen,Question EN 33,Question BN 33,Question HI 33,Question JP 33,Question CN 33,"Always, Often, Sometimes, Rarely, Never"
34,Professional,Adult,Question EN 34,Question BN 34,Question HI 34,Question JP 34,Question CN 34,"Always, Often, Sometimes, Rarely, Never"
35,Personal,Senior,Question EN 35,Question BN 35,Question HI 35,Question JP 35,Question CN 35,"Always, Often, Sometimes, Rarely, Never"
36,Ethics,Child,Question EN 36,Question BN 36,Question HI 36,Question JP 36,Question CN 36,"Always, Often, Sometimes, Rarely, Never"
37,Social,Teen,Question EN 37,Question BN 37,Question HI 37,Question JP 37,Question CN 37,"Always, Often, Sometimes, Rarely, Never"
38,Professional,Adult,Question EN 38,Question BN 38,Question HI 38,Question JP 38,Question CN 38,"Always, Often, Sometimes, Rarely, Never"
39,Personal,Senior,Question EN 39,Question BN 39,Question HI 39,Question JP 39,Question CN 39,"Always, Often, Sometimes, Rarely, Never"
40,Ethics,Child,Question EN 40,Question BN 40,Question HI 40,Question JP 40,Question CN 40,"Always, Often, Sometimes, Rarely, Never"
41,Social,Teen,Question EN 41,Question BN 41,Question HI 41,Question JP 41,Question CN 41,"Always, Often, Sometimes, Rarely, Never"
42,Professional,Adult,Question EN 42,Question BN 42,Question HI 42,Question JP 42,Question CN 42,"Always, Often, Sometimes, Rarely, Never"
43,Personal,Senior,Question EN 43,Question BN 43,Question HI 43,Question JP 43,Question CN 43,"Always, Often, Sometimes, Rarely, Never"
44,Ethics,Child,Question EN 44,Question BN 44,Question HI 44,Question JP 44,Question CN 44,"Always, Often, Sometimes, Rarely, Never"
45,Social,Teen,Question EN 45,Question BN 45,Question HI 45,Question JP 45,Question CN 45,"Always, Often, Sometimes, Rarely, Never"
46,Professional,Adult,Question EN 46,Question BN 46,Question HI 46,Question JP 46,Question CN 46,"Always, Often, Sometimes, Rarely, Never"
47,Personal,Senior,Question EN 47,Question BN 47,Question HI 47,Question JP 47,Question CN 47,"Always, Often, Sometimes, Rarely, Never"
48,Ethics,Child,Question EN 48,Question BN 48,Question HI 48,Question JP 48,Question CN 48,"Always, Often, Sometimes, Rarely, Never"
49,Social,Teen,Question EN 49,Question BN 49,Question HI 49,Question JP 49,Question CN 49,"Always, Often, Sometimes, Rarely, Never"
50,Professional,Adult,Question EN 50,Question BN 50,Question HI 50,Question JP 50,Question CN 50,"Always, Often, Sometimes, Rarely, Never"
51,Personal,Senior,Question EN 51,Question BN 51,Question HI 51,Question JP 51,Question CN 51,"Always, Often, Sometimes, Rarely, Never"
52,Ethics,Child,Question EN 52,Question BN 52,Question HI 52,Question JP 52,Question CN 52,"Always, Often, Sometimes, Rarely, Never"
53,Social,Teen,Question EN 53,Question BN 53,Question HI 53,Question JP 53,Question CN 53,"Always, Often, Sometimes, Rarely, Never"
54,Professional,Adult,Question EN 54,Question BN 54,Question HI 54,Question JP 54,Question CN 54,"Always, Often, Sometimes, Rarely, Never"
55,Personal,Senior,Question EN 55,Question BN 55,Question HI 55,Question JP 55,Question CN 55,"Always, Often, Sometimes, Rarely, Never"
56,Ethics,Child,Question EN 56,Question BN 56,Question HI 56,Question JP 56,Question CN 56,"Always, Often, Sometimes, Rarely, Never"
57,Social,Teen,Question EN 57,Question BN 57,Question HI 57,Question JP 57,Question CN 57,"Always, Often, Sometimes, Rarely, Never"
58,Professional,Adult,Question EN 58,Question BN 58,Question HI 58,Question JP 58,Question CN 58,"Always, Often, Sometimes, Rarely, Never"
59,Personal,Senior,Question EN 59,Question BN 59,Question HI 59,Question JP 59,Question CN 59,"Always, Often, Sometimes, Rarely, Never"
60,Ethics,Child,Question EN 60,Question BN 60,Question HI 60,Question JP 60,Question CN 60,"Always, Often, Sometimes, Rarely, Never"
61,Social,Teen,Question EN 61,Question BN 61,Question HI 61,Question JP 61,Question CN 61,"Always, Often, Sometimes, Rarely, Never"
62,Professional,Adult,Question EN 62,Question BN 62,Question HI 62,Question JP 62,Question CN 62,"Always, Often, Sometimes, Rarely, Never"
63,Personal,Senior,Question EN 63,Question BN 63,Question HI 63,Question JP 63,Question CN 63,"Always, Often, Sometimes, Rarely, Never"
64,Ethics,Child,Question EN 64,Question BN 64,Question HI 64,Question JP 64,Question CN 64,"Always, Often, Sometimes, Rarely, Never"
65,Social,Teen,Question EN 65,Question BN 65,Question HI 65,Question JP 65,Question CN 65,"Always, Often, Sometimes, Rarely, Never"
66,Professional,Adult,Question EN 66,Question BN 66,Question HI 66,Question JP 66,Question CN 66,"Always, Often, Sometimes, Rarely, Never"
67,Personal,Senior,Question EN 67,Question BN 67,Question HI 67,Question JP 67,Question CN 67,"Always, Often, Sometimes, Rarely, Never"
68,Ethics,Child,Question EN 68,Question BN 68,Question HI 68,Question JP 68,Question CN 68,"Always, Often, Sometimes, Rarely, Never"
69,Social,Teen,Question EN 69,Question BN 69,Question HI 69,Question JP 69,Question CN 69,"Always, Often, Sometimes, Rarely, Never"
70,Professional,Adult,Question EN 70,Question BN 70,Question HI 70,Question JP 70,Question CN 70,"Always, Often, Sometimes, Rarely, Never"
71,Personal,Senior,Question EN 71,Question BN 71,Question HI 71,Question JP 71,Question CN 71,"Always, Often, Sometimes, Rarely, Never"
72,Ethics,Child,Question EN 72,Question BN 72,Question HI 72,Question JP 72,Question CN 72,"Always, Often, Sometimes, Rarely, Never"
73,Social,Teen,Question EN 73,Question BN 73,Question HI 73,Question JP 73,Question CN 73,"Always, Often, Sometimes, Rarely, Never"
74,Professional,Adult,Question EN 74,Question BN 74,Question HI 74,Question JP 74,Question CN 74,"Always, Often, Sometimes, Rarely, Never"
75,Personal,Senior,Question EN 75,Question BN 75,Question HI 75,Question JP 75,Question CN 75,"Always, Often, Sometimes, Rarely, Never"
76,Ethics,Child,Question EN 76,Question BN 76,Question HI 76,Question JP 76,Question CN 76,"Always, Often, Sometimes, Rarely, Never"
77,Social,Teen,Question EN 77,Question BN 77,Question HI 77,Question JP 77,Question CN 77,"Always, Often, Sometimes, Rarely, Never"
78,Professional,Adult,Question EN 78,Question BN 78,Question HI 78,Question JP 78,Question CN 78,"Always, Often, Sometimes, Rarely, Never"
79,Personal,Senior,Question EN 79,Question BN 79,Question HI 79,Question JP 79,Question CN 79,"Always, Often, Sometimes, Rarely, Never"
80,Ethics,Child,Question EN 80,Question BN 80,Question HI 80,Question JP 80,Question CN 80,"Always, Often, Sometimes, Rarely, Never"
81,Social,Teen,Question EN 81,Question BN 81,Question HI 81,Question JP 81,Question CN 81,"Always, Often, Sometimes, Rarely, Never"
82,Professional,Adult,Question EN 82,Question BN 82,Question HI 82,Question JP 82,Question CN 82,"Always, Often, Sometimes, Rarely, Never"
83,Personal,Senior,Question EN 83,Question BN 83,Question HI 83,Question JP 83,Question CN 83,"Always, Often, Sometimes, Rarely, Never"
84,Ethics,Child,Question EN 84,Question BN 84,Question HI 84,Question JP 84,Question CN 84,"Always, Often, Sometimes, Rarely, Never"
85,Social,Teen,Question EN 85,Question BN 85,Question HI 85,Question JP 85,Question CN 85,"Always, Often, Sometimes, Rarely, Never"
86,Professional,Adult,Question EN 86,Question BN 86,Question HI 86,Question JP 86,Question CN 86,"Always, Often, Sometimes, Rarely, Never"
87,Personal,Senior,Question EN 87,Question BN 87,Question HI 87,Question JP 87,Question CN 87,"Always, Often, Sometimes, Rarely, Never"
88,Ethics,Child,Question EN 88,Question BN 88,Question HI 88,Question JP 88,Question CN 88,"Always, Often, Sometimes, Rarely, Never"
89,Social,Teen,Question EN 89,Question BN 89,Question HI 89,Question JP 89,Question CN 89,"Always, Often, Sometimes, Rarely, Never"
90,Professional,Adult,Question EN 90,Question BN 90,Question HI 90,Question JP 90,Question CN 90,"Always, Often, Sometimes, Rarely, Never"
91,Personal,Senior,Question EN 91,Question BN 91,Question HI 91,Question JP 91,Question CN 91,"Always, Often, Sometimes, Rarely, Never"
92,Ethics,Child,Question EN 92,Question BN 92,Question HI 92,Question JP 92,Question CN 92,"Always, Often, Sometimes, Rarely, Never"
93,Social,Teen,Question EN 93,Question BN 93,Question HI 93,Question JP 93,Question CN 93,"Always, Often, Sometimes, Rarely, Never"
94,Professional,Adult,Question EN 94,Question BN 94,Question HI 94,Question JP 94,Question CN 94,"Always, Often, Sometimes, Rarely, Never"
95,Personal,Senior,Question EN 95,Question BN 95,Question HI 95,Question JP 95,Question CN 95,"Always, Often, Sometimes, Rarely, Never"
96,Ethics,Child,Question EN 96,Question BN 96,Question HI 96,Question JP 96,Question CN 96,"Always, Often, Sometimes, Rarely, Never"
97,Social,Teen,Question EN 97,Question BN 97,Question HI 97,Question JP 97,Question CN 97,"Always, Often, Sometimes, Rarely, Never"
98,Professional,Adult,Question EN 98,Question BN 98,Question HI 98,Question JP 98,Question CN 98,"Always, Often, Sometimes, Rarely, Never"
99,Personal,Senior,Question EN 99,Question BN 99,Question HI 99,Question JP 99,Question CN 99,"Always, Often, Sometimes, Rarely, Never"
100,Ethics,Child,Question EN 100,Question BN 100,Question HI 100,Question JP 100,Question CN 100,"Always, Often, Sometimes, Rarely, Never"
101,Social,Teen,Question EN 101,Question BN 101,Question HI 101,Question JP 101,Question CN 101,"Always, Often, Sometimes, Rarely, Never"
102,Professional,Adult,Question EN 102,Question BN 102,Question HI 102,Question JP 102,Question CN 102,"Always, Often, Sometimes, Rarely, Never"
103,Personal,Senior,Question EN 103,Question BN 103,Question HI 103,Question JP 103,Question CN 103,"Always, Often, Sometimes, Rarely, Never"
104,Ethics,Child,Question EN 104,Question BN 104,Question HI 104,Question JP 104,Question CN 104,"Always, Often, Sometimes, Rarely, Never"
105,Social,Teen,Question EN 105,Question BN 105,Question HI 105,Question JP 105,Question CN 105,"Always, Often, Sometimes, Rarely, Never"
106,Professional,Adult,Question EN 106,Question BN 106,Question HI 106,Question JP 106,Question CN 106,"Always, Often, Sometimes, Rarely, Never"
107,Personal,Senior,Question EN 107,Question BN 107,Question HI 107,Question JP 107,Question CN 107,"Always, Often, Sometimes, Rarely, Never"
108,Ethics,Child,Question EN 108,Question BN 108,Question HI 108,Question JP 108,Question CN 108,"Always, Often, Sometimes, Rarely, Never"
109,Social,Teen,Question EN 109,Question BN 109,Question HI 109,Question JP 109,Question CN 109,"Always, Often, Sometimes, Rarely, Never"
110,Professional,Adult,Question EN 110,Question BN 110,Question HI 110,Question JP 110,Question CN 110,"Always, Often, Sometimes, Rarely, Never"
111,Personal,Senior,Question EN 111,Question BN 111,Question HI 111,Question JP 111,Question CN 111,"Always, Often, Sometimes, Rarely, Never"
112,Ethics,Child,Question EN 112,Question BN 112,Question HI 112,Question JP 112,Question CN 112,"Always, Often, Sometimes, Rarely, Never"
113,Social,Teen,Question EN 113,Question BN 113,Question HI 113,Question JP 113,Question CN 113,"Always, Often, Sometimes, Rarely, Never"
114,Professional,Adult,Question EN 114,Question BN 114,Question HI 114,Question JP 114,Question CN 114,"Always, Often, Sometimes, Rarely, Never"
115,Personal,Senior,Question EN 115,Question BN 115,Question HI 115,Question JP 115,Question CN 115,"Always, Often, Sometimes, Rarely, Never"
116,Ethics,Child,Question EN 116,Question BN 116,Question HI 116,Question JP 116,Question CN 116,"Always, Often, Sometimes, Rarely, Never"
117,Social,Teen,Question EN 117,Question BN 117,Question HI 117,Question JP 117,Question CN 117,"Always, Often, Sometimes, Rarely, Never"
118,Professional,Adult,Question EN 118,Question BN 118,Question HI 118,Question JP 118,Question CN 118,"Always, Often, Sometimes, Rarely, Never"
119,Personal,Senior,Question EN 119,Question BN 119,Question HI 119,Question JP 119,Question CN 119,"Always, Often, Sometimes, Rarely, Never"
120,Ethics,Child,Question EN 120,Question BN 120,Question HI 120,Question JP 120,Question CN 120,"Always, Often, Sometimes, Rarely, Never"
